1,农副食品加工业,直接农、林、牧、渔业产品为原料进行的谷物磨制、饲料、植物油和制糖、屠宰及肉类、水产品，及蔬菜、水果和坚果等食品的加工
2,谷物磨制,也称粮食加工，将稻谷、小麦、玉米、谷子、高粱等谷物去壳、碾磨，加工为成品粮的生产活动
3,稻谷加工,将稻谷去壳、碾磨成大米的生产活动
4,小麦加工,将小麦碾磨成小麦粉的生产活动
5,玉米加工,将玉米碾碎或碾磨成玉米碴或玉米粉的生产活动，不含玉米为原料的饲料加工、淀粉及淀粉制品制造、酒精制造等
6,杂粮加工,将谷子、高粱、绿豆、红小豆等小宗谷类、豆类作物进行清理去壳、碾磨，加工为成品粮的生产活动
7,其他谷物磨制,
8,饲料加工,
9,宠物饲料加工,专门为合法饲养的猫、狗、鱼、鸟等小动物提供食物的加工
10,其他饲料加工,适用于农场、农户饲养牲畜、家禽、水产品的饲料生产加工和用低值水产品及水产品加工废弃物（如鱼骨、内脏、虾壳）等为主要原料的饲料加工
11,植物油加工,
12,食用植物油加工,用各种食用植物油料生产油脂，及精制食用油的加工
13,非食用植物油加工,用各种非食用植物油料生产油脂的活动
14,制糖业,甘蔗、甜菜等为原料制作成品糖，及原糖或砂糖为原料精炼加工各种精制糖的生产活动
15,屠宰及肉类加工,
16,牲畜屠宰,对各种牲畜进行宰杀，及鲜肉冷冻等保鲜活动，但不包括商业冷藏活动
17,禽类屠宰,对各种禽类进行宰杀，及鲜肉冷冻等保鲜活动，但不包括商业冷藏活动
18,肉制品及副产品加工,主要各种畜、禽肉及畜、禽副产品为原料加工成熟肉制品
19,水产品加工,
20,水产品冷冻加工,为了保鲜，将海水、淡水养殖或捕捞的鱼类、虾类、甲壳类、贝类、藻类等水生动物或植物进行的冷冻加工，但不包括商业冷藏活动
21,鱼糜制品及水产品干腌制加工,鱼糜制品制造，及水产品的干制、腌制等加工活动
22,鱼油提取及制品制造,从鱼或鱼肝中提取油脂，并生产制品的活动
23,其他水产品加工,对水生动植物进行的其他加工
24,蔬菜、菌类、水果和坚果加工,用脱水、干制、冷藏、冷冻、腌制等方法，对蔬菜、菌类、水果、坚果的加工
25,蔬菜加工,
26,食用菌加工,
27,水果和坚果加工,
28,其他农副食品加工,
29,淀粉及淀粉制品制造,用玉米、薯类、豆类及其他植物原料制作淀粉和淀粉制品的生产；还包括淀粉为原料，经酶法或酸法转换得到的糖品生产活动
30,豆制品制造,大豆、小豆、绿豆、豌豆、蚕豆等豆类为主要原料，经加工制成食品的活动
31,蛋品加工,
32,其他未列明农副食品加工,
33,食品制造业,
34,焙烤食品制造,
35,糕点、面包制造,用米粉、小麦粉、豆粉为主要原料，配辅料，经成型、油炸、烤制而成的各种食品生产活动
36,饼干及其他焙烤食品制造,小麦粉（或糯米粉）、糖和油脂为主要原料，配奶制品、蛋制品等辅料，经成型、焙烤制成的各种饼干，及用薯类、谷类、豆类等制作的各种易于保存、食用方便的焙烤食品生产活动
37,糖果、巧克力及蜜饯制造,
38,糖果、巧克力制造,糖果制造砂糖、葡萄糖浆或饴糖为主要原料，加入油脂、乳品、胶体、果仁、香料、食用色素等辅料制成甜味块状食品的生产活动；巧克力制造浆状、粉状或块状可可、可可脂、可可酱、砂糖、乳品等为主要原料加工制成巧克力及巧克力制品的生产活动
39,蜜饯制作,水果、坚果、果皮及植物的其他部分制作糖果蜜饯的活动
40,方便食品制造,米、小麦粉、杂粮等为主要原料加工制成，只需简单烹制即可作为主食，具有食用简便、携带方便，易于储藏等特点的食品制造
41,米、面制品制造,大米、小麦粉、杂粮等为主要原料，经加工制成各种未经蒸煮类米面制品的生产活动
42,速冻食品制造,米、小麦粉、杂粮等为主要原料，肉类、蔬菜等为辅料，经加工制成各类烹制或未烹制的主食食品后，立即采用速冻工艺制成的，并可在冻结条件下运输储存及销售的各类主食食品的生产活动
43,方便面制造,
44,其他方便食品制造,用米、杂粮等为主要原料加工制成的，可直接食用或只需简单蒸煮即可作为主食的各种方便主食食品的生产活动，及其他未列明的方便食品制造
45,乳制品制造,生鲜牛（羊）乳及其制品为主要原料，经加工制成的液体乳及固体乳（乳粉、炼乳、乳脂肪、干酪等）制品的生产活动；不包括含乳饮料和植物蛋白饮料生产活动
46,液体乳制造,
47,乳粉制造,
48,其他乳制品制造,
49,罐头食品制造,将符合要求的原料经处理、分选、修整、烹调（或不经烹调）、装罐、密封、杀菌、冷却（或无菌包装）等罐头生产工艺制成的，达到商业无菌要求，并可在常温下储存的罐头食品的制造
50,肉、禽类罐头制造,
51,水产品罐头制造,
52,蔬菜、水果罐头制造,
53,其他罐头食品制造,婴幼儿辅助食品类罐头、米面食品类罐头（如八宝粥罐头等）及上述未列明的罐头食品制造
54,调味品、发酵制品制造,
55,味精制造,淀粉或糖蜜为原料，经微生物发酵、提取、精制等工序制成的，谷氨酸钠含量在80％及上的鲜味剂的生产活动
56,酱油、食醋及类似制品制造,大豆和（或）脱脂大豆，小麦和（或）麸皮为原料，经微生物发酵制成的各种酱油和酱类制品，及单独或混合使用各种含有淀粉、糖的物料或酒精，经微生物发酵酿制的酸性调味品的生产活动
57,其他调味品、发酵制品制造,
58,其他食品制造,
59,营养食品制造,新食品原料和其他富含营养成分的传统食材为原料，经各种常规食品制造技术生产的特殊医学用途配方食品、婴幼儿配方食品和其他适用于特定人群的主辅食品的生产活动
60,保健食品制造,标明具有特定保健功能的食品，适用于特定人群食用，具有调节机体功能，不治疗为目的，对人体不产生急性、亚急性或慢性危害，补充维生素、矿物质为目的的营养素补充等保健食品制造
61,冷冻饮品及食用冰制造,砂糖、乳制品、豆制品、蛋制品、油脂、果料和食用添加剂等经混合配制、加热杀菌、均质、老化、冻结（凝冻）而成的冷食饮品的制造，及食用冰的制造
62,盐加工,原盐为原料，经过化卤、蒸发、洗涤、粉碎、干燥、脱水、筛分等工序，或在其中添加碘酸钾及调味品等加工制成盐产品的生产活动
63,食品及饲料添加剂制造,增加或改善食品特色的化学品，及补充动物饲料的营养成分和促进生长、防治疫病的制剂的生产活动
64,其他未列明食品制造,
65,酒、饮料和精制茶制造业,
66,酒的制造,酒精、白酒、啤酒及其专用麦芽、黄酒、葡萄酒、果酒、配制酒及其他酒的生产
67,酒精制造,用玉米、小麦、薯类等淀粉质原料或用糖蜜等含糖质原料，经蒸煮、糖化、发酵及蒸馏等工艺制成的酒精产品的生产活动
68,白酒制造,高粱等粮谷为主要原料，大曲、小曲或麸曲及酒母等为糖化发酵剂，经蒸煮、糖化、发酵、蒸馏、陈酿、勾兑而制成的蒸馏酒产品的生产活动
69,啤酒制造,麦芽（包括特种麦芽）、水为主要原料，加啤酒花，经酵母发酵酿制而成，含二氧化碳、起泡、低酒精度的发酵酒产品（包括无醇啤酒，也称脱醇啤酒）的生产活动，及啤酒专用原料麦芽的生产活动
70,黄酒制造,稻米、黍米、黑米、小麦、玉米等为主要原料，加曲、酵母等糖化发酵剂发酵酿制而成的发酵酒产品的生产活动
71,葡萄酒制造,新鲜葡萄或葡萄汁为原料，经全部或部分发酵酿制而成，含有一定酒精度的发酵酒产品的生产活动
72,其他酒制造,除葡萄酒外的果酒、配制酒及上述未列明的其他酒产品的生产活动
73,饮料制造,
74,碳酸饮料制造,在一定条件下充入二氧化碳气的饮用品制造，其成品中二氧化碳气的含量（20℃时的体积倍数）不低于2.0倍
75,瓶（罐）装饮用水制造,地下矿泉水和符合生活饮用水卫生标准的水为水源加工制成的，密封于塑料瓶（罐）、玻璃瓶或其他容器中，不含任何添加剂，可直接饮用的水的生产活动
76,果菜汁及果菜汁饮料制造,新鲜或冷藏水果和蔬菜为原料，经加工制得的果菜汁液制品生产活动，及在果汁或浓缩果汁、蔬菜汁中加入水、糖液、酸味剂等，经调制而成的可直接饮用的饮品（果汁含量不低于10％）的生产活动
77,含乳饮料和植物蛋白饮料制造,鲜乳或乳制品为原料（经发酵或未经发酵），加入水、糖液等调制而成的可直接饮用的含乳饮品的生产活动，及蛋白质含量较高的植物的果实、种子或核果类、坚果类的果仁等为原料，在其加工制得的浆液中加入水、糖液等调制而成的可直接饮用的植物蛋白饮品的生产活动
